genre,q,a,img,url
きょうりゅう,つのが さんぼんあって、かおの まわりに フリルが あるのは？,とりけらとぷす,🦖,1-27529180.jpg
きょうりゅう,きょうりゅうの おうさまで、てが とっても ちいさいのは？,てぃらのさうるす,👑,2-27529173.jpg
きょうりゅう,せなかに いたが たくさん ならんでいるのは？,すてごさうるす,🛡️,3-27529173.jpg
きょうりゅう,あたまが とっても かたくて、ずつきが とくいなのは？,ぱきけふぁろさうるす,👷,4-1139660.jpg
きょうりゅう,よろい みたいな からだで、しっぽに はんまーが ついているのは？,あんきろさうるす,🔨,5-23369480.jpg
きょうりゅう,くびが とーっても ながくて、からだが おおきいのは？,ぶらきおさうるす,🦒,6-tanrica-ai-generated-8827035_1920.png
きょうりゅう,せなかに おおきな ほが あって、およぐのが とくいなのは？,すぴのさうるす,⛵,7-sergeikolo-ai-generated-9651326_1920.png
きょうりゅう,うみの おうさまで、とっても おおきな くちを しているのは？,もささうるす,🌊,8.JPG
きょうりゅう,そらを とぶのが とくいな、つばさが ある きょうりゅうは？,ぷてらのどん,🚀,9.JPG

きょうりゅう,かぎづめが とっても おおきくて、はしるのが はやいのは？,でぃのにくす,🏃,10.JPG

きょうりゅう,あごが とっても つよくて、およぐのが とくいな きょうりゅうは？,ばりおにくす,🐊,11.JPG

きょうりゅう,はなが とんがっていて、あたまの うしろに ながい ツノが あるのは？,ぱらさうろろふす,🎺,12.JPG

きょうりゅう,ちいさいけれど、とっても はしるのが はやい きょうりゅうは？,こむぷそぐなとぅす,🐾,13.JPG

きょうりゅう,たまごを とっても 大切（たいせつ）に そだてる きょうりゅうは？,まいあさうら,🥚,14.JPG

きょうりゅう,てが かま みたいに とっても ながくて、おおきいのは？,てりじのさうるす,⚔️,15.JPG

きょうりゅう,くびが おどろくほど ながーくて、しっぽも ながいのは？,でぃぷろどくす,🦕,16.JPG

きょうりゅう,あたまに おおきな とさかが あって、２つの はをもつのは？,でぃろふぉさうるす,🦎,17.JPG

